id;count;total_time;CPU;LPM;DeepLPM;Radio_TX;Radio_RX;Radio_Total
8;0;1966022;5252;1960770;0;547;1965466;1966013
2;0;1966088;10196;1955892;0;872;1965200;1966072
6;0;1966022;5763;1960259;0;650;1965361;1966011
4;0;1966021;6858;1959163;0;872;1965135;1966007
1;0;1966189;14736;1951453;0;1077;1965098;1966175
7;0;1966021;5737;1960284;0;803;1965205;1966008
10;0;1966016;11828;1954188;0;1359;1964644;1966003
9;0;1966175;12594;1953581;0;966;1965197;1966163
5;0;1966021;7751;1958270;0;765;1965244;1966009
3;0;1966285;12259;1954026;0;854;1965418;1966272
8;1;1966078;6193;1959885;0;461;1965613;1966074
2;1;1966077;7498;1958579;0;368;1965708;1966076
6;1;1966078;6430;1959648;0;357;1965716;1966073
4;1;1966080;4390;1961690;0;475;1965603;1966078
1;1;1966079;13106;1952973;0;514;1965559;1966073
7;1;1966079;5831;1960248;0;312;1965766;1966078
10;1;1966217;8925;1957292;0;689;1965517;1966206
9;1;1966080;12612;1953468;0;492;1965582;1966074
5;1;1966079;5463;1960616;0;367;1965710;1966077
3;1;1966080;15248;1950832;0;261;1965816;1966077
8;2;1966081;4684;1961397;0;260;1965817;1966077
2;2;1966080;6048;1960032;0;269;1965809;1966078
6;2;1966081;4687;1961394;0;262;1965817;1966079
4;2;1966079;2851;1963228;0;161;1965917;1966078
1;2;1966081;9868;1956213;0;519;1965555;1966074
7;2;1966080;4464;1961616;0;204;1965873;1966077
10;2;1965943;7560;1958383;0;587;1965349;1965936
9;2;1966079;7697;1958382;0;283;1965796;1966079
5;2;1966081;4373;1961708;0;268;1965808;1966076
3;2;1966079;8132;1957947;0;154;1965926;1966080
8;3;1966079;2597;1963482;0;51;1966028;1966079
2;3;1966080;2524;1963556;0;59;1966019;1966078
6;3;1966080;4072;1962008;0;374;1965704;1966078
4;3;1966081;2723;1963358;0;166;1965911;1966077
1;3;1966079;7414;1958665;0;537;1965534;1966071
7;3;1966081;3723;1962358;0;260;1965816;1966076
10;3;1966080;6788;1959292;0;485;1965586;1966071
9;3;1966080;6263;1959817;0;287;1965788;1966075
5;3;1966080;3047;1963033;0;167;1965912;1966079
3;3;1966080;5603;1960477;0;158;1965920;1966078
8;4;1966080;3605;1962475;0;158;1965920;1966078
2;4;1966080;5533;1960547;0;166;1965912;1966078
6;4;1966079;3022;1963057;0;153;1965925;1966078
4;4;1966079;2865;1963214;0;161;1965917;1966078
1;4;1966080;8161;1957919;0;411;1965663;1966074
7;4;1966079;3178;1962901;0;51;1966027;1966078
10;4;1966080;7303;1958777;0;588;1965486;1966074
9;4;1966080;7225;1958855;0;283;1965794;1966077
5;4;1966080;4372;1961708;0;268;1965808;1966076
3;4;1966081;8254;1957827;0;261;1965816;1966077
8;5;1966080;3041;1963039;0;153;1965925;1966078
2;5;1966080;3982;1962098;0;268;1965810;1966078
6;5;1966081;3690;1962391;0;158;1965919;1966077
4;5;1966080;2121;1963959;0;59;1966020;1966079
1;5;1966080;7655;1958425;0;415;1965658;1966073
7;5;1966081;3366;1962715;0;158;1965921;1966079
10;5;1966080;6803;1959277;0;485;1965586;1966071
9;5;1966080;5703;1960377;0;287;1965789;1966076
5;5;1966079;2622;1963457;0;59;1966020;1966079
3;5;1966079;4865;1961214;0;51;1966028;1966079
8;6;1966080;3789;1962291;0;265;1965811;1966076
2;6;1966079;2933;1963146;0;59;1966018;1966077
6;6;1966079;3980;1962099;0;158;1965919;1966077
4;6;1966080;2131;1963949;0;60;1966020;1966080
1;6;1966080;7152;1958928;0;416;1965658;1966074
7;6;1966079;3342;1962737;0;158;1965919;1966077
10;6;1966080;6657;1959423;0;485;1965588;1966073
9;6;1966080;5734;1960346;0;287;1965788;1966075
5;6;1966080;3345;1962735;0;166;1965911;1966077
3;6;1966080;4338;1961742;0;158;1965921;1966079
8;7;1966080;3496;1962584;0;51;1966027;1966078
2;7;1966081;4715;1961366;0;167;1965911;1966078
6;7;1966080;3382;1962698;0;154;1965925;1966079
4;7;1966080;2372;1963708;0;60;1966020;1966080
1;7;1966080;7632;1958448;0;413;1965664;1966077
7;7;1966081;4048;1962033;0;261;1965816;1966077
10;7;1966080;7334;1958746;0;588;1965489;1966077
9;7;1966080;6675;1959405;0;283;1965794;1966077
